0.15664E-05 0.45778E-08 0.00000E+01 471984 0 0 17344 0.11081E+11 0.00000E+01 0.15664E-05 0.00000E+01 0.00000E+01 0
1 1.5563e-06 4.0757e-08 1.7001 4.7829e-05 1.5563e-06
2 1.5482e-06 2.8978e-08 1.7183 4.9557e-05 1.5482e-06
3 1.5327e-06 1.9531e-08 1.6545 5.8487e-05 1.5327e-06
4 1.5816e-06 4.6635e-08 1.9141 5.9506e-05 1.5816e-06
5 1.594e-06 3.0003e-08 1.728 4.6884e-05 1.594e-06
6 1.5552e-06 2.1341e-08 1.7815 8.747e-05 1.5552e-06
7 1.6204e-06 4.414e-08 1.7683 7.0873e-05 1.6204e-06
8 1.5751e-06 3.0927e-08 1.8026 6.7545e-05 1.5751e-06
9 1.5556e-06 2.0172e-08 1.6836 5.5194e-05 1.5556e-06
10 1.6153e-06 4.2464e-08 1.7066 3.6666e-05 1.6153e-06
11 1.5608e-06 2.8081e-08 1.6517 3.8558e-05 1.5608e-06
12 1.5738e-06 2.1266e-08 1.7544 5.1875e-05 1.5738e-06
13 1.5644e-06 4.1788e-08 1.734 5.3665e-05 1.5644e-06
14 1.5948e-06 2.8904e-08 1.6638 4.9786e-05 1.5948e-06
15 1.5639e-06 2.0881e-08 1.7335 6.322e-05 1.5639e-06
16 1.5746e-06 4.1969e-08 1.7302 3.7996e-05 1.5746e-06
17 1.6014e-06 2.8897e-08 1.6566 4.0772e-05 1.6014e-06
18 1.6004e-06 2.1265e-08 1.7251 4.2434e-05 1.6004e-06
19 1.5605e-06 4.1192e-08 1.7135 4.3187e-05 1.5605e-06
20 1.5671e-06 2.8691e-08 1.6808 4.5153e-05 1.5671e-06
21 1.536e-06 1.9248e-08 1.6269 4.3001e-05 1.536e-06
22 1.5504e-06 4.2148e-08 1.7648 6.8011e-05 1.5504e-06
23 1.5639e-06 2.8273e-08 1.6596 4.5442e-05 1.5639e-06
24 1.6013e-06 2.1604e-08 1.7516 6.1295e-05 1.6013e-06
25 1.6007e-06 4.7903e-08 1.9427 7.3837e-05 1.6007e-06
26 1.5585e-06 2.9947e-08 1.764 4.3792e-05 1.5585e-06
27 1.583e-06 2.0385e-08 1.6719 4.6307e-05 1.583e-06
28 1.5816e-06 4.1762e-08 1.7141 4.4128e-05 1.5816e-06
29 1.5568e-06 2.9272e-08 1.7262 5.9873e-05 1.5568e-06
30 1.542e-06 1.9975e-08 1.6819 4.4581e-05 1.542e-06
31 1.5742e-06 3.895e-08 1.6062 4.1896e-05 1.5742e-06
32 1.6296e-06 3.1083e-08 1.7511 6.2419e-05 1.6296e-06
33 1.5282e-06 1.965e-08 1.6694 4.7677e-05 1.5282e-06
34 1.5815e-06 4.3633e-08 1.791 4.6518e-05 1.5815e-06
35 1.5182e-06 2.7902e-08 1.6872 5.6525e-05 1.5182e-06
36 1.5802e-06 2.1134e-08 1.7364 5.5073e-05 1.5802e-06
37 1.5131e-06 4.0225e-08 1.7257 4.0024e-05 1.5131e-06
38 1.5653e-06 2.852e-08 1.6727 4.8084e-05 1.5653e-06
39 1.553e-06 2.0341e-08 1.7005 4.5142e-05 1.553e-06
40 1.5151e-06 3.7172e-08 1.5926 3.3843e-05 1.5151e-06
41 1.5594e-06 2.8292e-08 1.6656 5.1021e-05 1.5594e-06
42 1.569e-06 2.0439e-08 1.6913 4.0758e-05 1.569e-06
43 1.494e-06 4.0655e-08 1.7665 4.9475e-05 1.494e-06
44 1.6094e-06 2.9842e-08 1.7023 4.5796e-05 1.6094e-06
45 1.5841e-06 2.1293e-08 1.7451 4.4815e-05 1.5841e-06
46 1.5851e-06 4.3633e-08 1.787 4.355e-05 1.5851e-06
47 1.5206e-06 2.7251e-08 1.6452 3.7243e-05 1.5206e-06
48 1.5817e-06 2.1185e-08 1.7389 6.353e-05 1.5817e-06
