             1             1
             2            -1
             3             1
             4            -3
5.04             1
5.05             1
5.07             1
5.08             1
             6            -5
             7            -1
             8            -1
             9            -3
            10            -3
            11            -5
            12            -5
            13            -1
            14            -1
            15            -3
            16            -3
            17            -5
            18            -5
            19            -1
            20            -1
            21            -3
            22            -3
            23            -5
            24            -5
            25             1
            26             1
            27           -26
            28           -25
            29             1
            30           -29
            31           -25
            32           -26
            33           -26
            34           -25
            35           -29
            36           -29
