             1             1
             2            -1
3.1             1
3.2             1
             4            -3
5.2             1
             6            -5
7.7             1
7.8             1
             8            -7
             9            -1
            10            -1
            11            -3
            12            -3
            13            -5
            14            -5
            15            -7
            16            -7
            17            -1
            18            -1
            19            -3
            20            -3
            21            -5
            22            -5
            23            -1
            24            -1
            25            -3
            26            -3
            27            -5
            28            -5
