             1             4
             2             4
3.2             4
4.2             4
             5             4
             6             4
7.1             4
7.2             4
8.1             4
8.2             4
9.7             4
9.8             4
            10            -9
            11            -2
            12            -1
            13            -4
            14            -3
            15            -6
            16            -5
            17            -8
            18            -7
            19            -9
            20            -9
            21            -1
            22            -2
            23            -3
            24            -4
            25            -5
            26            -6
            27            -7
            28            -8
            29            -1
            30            -2
            31            -3
            32            -4
            33            -5
            34            -6
            35            -7
            36            -8
