1.161            1
1.211            1
1.212            1
1.214            1
1.215            1
1.238            1
1.239            1
1.241            1
1.242            1
2.134            1
2.161            1
2.215            1
2.232            1
2.233            1
2.241            1
2.242            1
3.161            1
3.211            1
3.212            1
3.214            1
3.215            1
3.238            1
3.239            1
3.241            1
3.242            1
4.134            1
4.161            1
4.215            1
4.232            1
4.233            1
4.241            1
4.242            1
5.215            1
5.238            1
5.239            1
5.241            1
5.242            1
6.215            1
6.238            1
6.239            1
6.241            1
6.242            1
